#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
Sed_ROV03_1	2017	Sed_ROV03	Sed_ROV03_1	Sed_ROV03_1	Sediment	Sed_ROV03_1
Sed_ROV03_2	2017	Sed_ROV03	Sed_ROV03_2	Sed_ROV03_2	Sediment	Sed_ROV03_2
Sed_ROV03_3	2017	Sed_ROV03	Sed_ROV03_3	Sed_ROV03_3	Sediment	Sed_ROV03_3
Sed_ROV06_1	2017	Sed_ROV06	Sed_ROV06_1	Sed_ROV06_1	Sediment	Sed_ROV06_1
Sed_ROV06_2	2017	Sed_ROV06	Sed_ROV06_2	Sed_ROV06_2	Sediment	Sed_ROV06_2
Sed_ROV06_3	2017	Sed_ROV06	Sed_ROV06_3	Sed_ROV06_3	Sediment	Sed_ROV06_3
SED_ROV12_1	2017	Sed_ROV12	Sed_ROV12_1	Sed_ROV12_1	Sediment	Sed_ROV12_1
SED_ROV12_2	2017	Sed_ROV12	Sed_ROV12_2	Sed_ROV12_2	Sediment	Sed_ROV12_2
SED_ROV12_3	2017	Sed_ROV12	Sed_ROV12_3	Sed_ROV12_3	Sediment	Sed_ROV12_3
SED_ROV14_1	2017	Sed_ROV14	Sed_ROV14_1	Sed_ROV14_1	Sediment	Sed_ROV14_1
SED_ROV14_2	2017	Sed_ROV14	Sed_ROV14_2	Sed_ROV14_2	Sediment	Sed_ROV14_2
SED_ROV14_3	2017	Sed_ROV14	Sed_ROV14_3	Sed_ROV14_3	Sediment	Sed_ROV14_3
SED_ROV15_1	2017	Sed_ROV15	Sed_ROV15_1	Sed_ROV15_1	Sediment	Sed_ROV15_1
SED_ROV15_2	2017	Sed_ROV15	Sed_ROV15_2	Sed_ROV15_2	Sediment	Sed_ROV15_2
SED_ROV15_3	2017	Sed_ROV15	Sed_ROV15_3	Sed_ROV15_3	Sediment	Sed_ROV15_3
SED_ROV16_1	2017	Sed_ROV16	Sed_ROV16_1	Sed_ROV16_1	Sediment	Sed_ROV16_1
SED_ROV16_2	2017	Sed_ROV16	Sed_ROV16_2	Sed_ROV16_2	Sediment	Sed_ROV16_2
SED_ROV16_3	2017	Sed_ROV16	Sed_ROV16_3	Sed_ROV16_3	Sediment	Sed_ROV16_3
SED_ROV18_1	2017	Sed_ROV18	Sed_ROV18_1	Sed_ROV18_1	Sediment	Sed_ROV18_1
SED_ROV18_2	2017	Sed_ROV18	Sed_ROV18_2	Sed_ROV18_2	Sediment	Sed_ROV18_2
SED_ROV18_3	2017	Sed_ROV18	Sed_ROV18_3	Sed_ROV18_3	Sediment	Sed_ROV18_3
SO254_2_1	2017	SW_2	SW_2_1	SW_2_1	Seawater	SO254_2_1
SO254_2_2	2017	SW_2	SW_2_2	SW_2_2	Seawater	SO254_2_2
SO254_2_3	2017	SW_2	SW_2_3	SW_2_3	Seawater	SO254_2_3
SO254_8_1	2017	SW_8	SW_8_1	SW_8_1	Seawater	SO254_8_1
SO254_8_2	2017	SW_8	SW_8_2	SW_8_2	Seawater	SO254_8_2
SO254_8_3	2017	SW_8	SW_8_3	SW_8_3	Seawater	SO254_8_3
SO254_14_1	2017	SW_14	SW_14_1	SW_14_1	Seawater	SO254_14_1
SO254_14_2	2017	SW_14	SW_14_2	SW_14_2	Seawater	SO254_14_2
SO254_14_3	2017	SW_14	SW_14_3	SW_14_3	Seawater	SO254_14_3
SO254_18_1	2017	SW_18	SW_18_1	SW_18_1	Seawater	SO254_18_1
SO254_18_2	2017	SW_18	SW_18_2	SW_18_2	Seawater	SO254_18_2
SO254_18_3	2017	SW_18	SW_18_3	SW_18_3	Seawater	SO254_18_3
SO254_23_1	2017	SW_23	SW_23_1	SW_23_1	Seawater	SO254_23_1
SO254_23_2	2017	SW_23	SW_23_2	SW_23_2	Seawater	SO254_23_2
SO254_23_3	2017	SW_23	SW_23_3	SW_23_3	Seawater	SO254_23_3
SO254_33_1	2017	SW_33	SW_33_1	SW_33_1	Seawater	SO254_33_1
SO254_33_2	2017	SW_33	SW_33_2	SW_33_2	Seawater	SO254_33_2
SO254_33_3	2017	SW_33	SW_33_3	SW_33_3	Seawater	SO254_33_3
SO254_36_1	2017	SW_36	SW_36_1	SW_36_1	Seawater	SO254_36_1
SO254_36_2	2017	SW_36	SW_36_2	SW_36_2	Seawater	SO254_36_2
SO254_36_3	2017	SW_36	SW_36_3	SW_36_3	Seawater	SO254_36_3
SO254_36_Kreiselpumpe_1	2017	SW_36_Kreiselpumpe	SW_36_Kreiselpumpe_1	SW_36_Kreiselpumpe_1	Seawater	SO254_36_Kreiselpumpe_1
SO254_36_Kreiselpumpe_2	2017	SW_36_Kreiselpumpe	SW_36_Kreiselpumpe_2	SW_36_Kreiselpumpe_2	Seawater	SO254_36_Kreiselpumpe_2
SO254_36_Kreiselpumpe_3	2017	SW_36_Kreiselpumpe	SW_36_Kreiselpumpe_3	SW_36_Kreiselpumpe_3	Seawater	SO254_36_Kreiselpumpe_3
SO254_76_1	2017	SW_76	SW_76_1	SW_76_1	Seawater	SO254_76_1
SO254_76_2	2017	SW_76	SW_76_2	SW_76_2	Seawater	SO254_76_2
SO254_76_3	2017	SW_76	SW_76_3	SW_76_3	Seawater	SO254_76_3
SO254_77_1	2017	SW_77	SW_77_1	SW_77_1	Seawater	SO254_77_1
SO254_77_2	2017	SW_77	SW_77_2	SW_77_2	Seawater	SO254_77_2
SO254_77_3	2017	SW_77	SW_77_3	SW_77_3	Seawater	SO254_77_3
SO254_78_1	2017	SW_78	SW_78_1	SW_78_1	Seawater	SO254_78_1
SO254_78_2	2017	SW_78	SW_78_2	SW_78_2	Seawater	SO254_78_2
SO254_78_3	2017	SW_78	SW_78_3	SW_78_3	Seawater	SO254_78_3
SO254_81_1	2017	SW_81	SW_81_1	SW_81_1	Seawater	SO254_81_1
SO254_81_2	2017	SW_81	SW_81_2	SW_81_2	Seawater	SO254_81_2
SO254_81_3	2017	SW_81	SW_81_3	SW_81_3	Seawater	SO254_81_3
SO254_84_1	2017	SW_84	SW_84_1	SW_84_1	Seawater	SO254_84_1
SO254_84_2	2017	SW_84	SW_84_2	SW_84_2	Seawater	SO254_84_2
SO254_84_3	2017	SW_84	SW_84_3	SW_84_3	Seawater	SO254_84_3
SO254_85_1	2017	SW_85	SW_85_1	SW_85_1	Seawater	SO254_85_1
SO254_85_2	2017	SW_85	SW_85_2	SW_85_2	Seawater	SO254_85_2
SO254_85_3	2017	SW_85	SW_85_3	SW_85_3	Seawater	SO254_85_3
SO254_1_1	2017	SW_1	SW_1_1	SW_1_1	Seawater	SO254_1_1
SO254_1_2	2017	SW_1	SW_1_2	SW_1_2	Seawater	SO254_1_2
SO254_1_3	2017	SW_1	SW_1_3	SW_1_3	Seawater	SO254_1_3
SO254_34_1	2017	SW_34	SW_34_1	SW_34_1	Seawater	SO254_34_1
SO254_34_2	2017	SW_34	SW_34_2	SW_34_2	Seawater	SO254_34_2
SO254_34_3	2017	SW_34	SW_34_3	SW_34_3	Seawater	SO254_34_3
NZ-001	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-001	Sponge	NZ-001
NZ-002	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-002	Sponge	NZ-002
NZ-004	2017	Farreidae	Farreidae	Farrea sp. 2	Sponge	NZ-004
NZ-005	2017	Rossellidae	Rossellidae	Lophocalyx sp.	Sponge	NZ-005
NZ-008	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-008	Sponge	NZ-008
NZ-010	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-010	Sponge	NZ-010
NZ-011	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-011	Sponge	NZ-011
NZ-012	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-012
NZ-013	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-013	Sponge	NZ-013
NZ-014	2017	Rossellidae	Rossellidae	Lophocalyx sp.	Sponge	NZ-014
NZ-015	2017	Farreidae	Farreidae	Farrea sp. 3	Sponge	NZ-015
NZ-016	2017	Rossellidae	Rossellidae	Rossellinae indet.	Sponge	NZ-016
NZ-017	2017	Aulocalycidae	Aulocalycidae	Aulocalyx serialis	Sponge	NZ-017
NZ-019	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-019	Sponge	NZ-019
