#SampleID	ID	SampleType	Date	SamplingDay	ROVstation	LocationName	SubstrateHabitat	MainGeography	Lon	Lat	Depth	Temp	TaxStat	Pooled	Class	Family	Genus	Species	EnvReplicates	MaxReplicates	MinReplicates	on_board_ID	LIMS-ID
NZ-001	NZ-001	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	768	na	OK	Hexactinellida	Hexactinellida	Aphrocallistidae 	Aphrocallistes	Aphrocallistes beatrix	Aphrocallistes beatrix	YES	YES	NZ-001	WB-00079
NZ-002	NZ-002	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7325077	173.9098053	759	na	OK	Hexactinellida	Hexactinellida	Aphrocallistidae	Aphrocallistes	Aphrocallistes beatrix	Aphrocallistes beatrix	YES	YES	NZ-002	WB-00080
NZ-008	NZ-008	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7325668	173.90979	759	na	BAD	Hexactinellida	Hexactinellida	Aulocalycidae	Rhabdodictyum	BAD Latrunculid	BAD Latrunculid	NO	NO	NZ-008	WB-00083
NZ-006	NZ-006	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.732502	173.90979	759	na	BAD	Demospongiae	Demospongiae	unknown 4	unknown 4	BAD raspailiid / unknown 4	BAD raspailiid / unknown 4	NO	NO	NZ-006	WB-00202
NZ-004	NZ-004	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7325592	173.9097748	759	na	OK	Hexactinellida	Hexactinellida	Farreidae	Farrea	Farrea sp. 2	Farrea sp. 2	NO	NO	NZ-004	WB-00081
NZ-007	NZ-007	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7325668	173.90979	759	na	OK	Demospongiae	Demospongiae	Suberitidae	Homaxinella	Homaxinella sp.	Homaxinella sp.	NO	NO	NZ-007	WB-00203
NZ-005	NZ-005	Sponge	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7325897	173.9097748	760	na	OK	Hexactinellida	Hexactinellida	Rossellidae	Lophocalyx	Lophocalyx sp.	Lophocalyx sp.	YES	NO	NZ-005	WB-00082
SO254_1_1	SO254_1	Seawater	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	545	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_1	YES	YES	na	na
SO254_1_2	SO254_1	Seawater	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	545	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_1	YES	YES	na	na
SO254_1_3	SO254_1	Seawater	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	545	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_1	YES	YES	na	na
SO254_2_1	SO254_2	Seawater	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	767	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_2	YES	YES	na	na
SO254_2_2	SO254_2	Seawater	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	767	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_2	YES	YES	na	na
SO254_2_3	SO254_2	Seawater	30.01.17	Day01	02ROV01	Kiwi Seamount, Three Kings Ridge	na	na	-30.7330856	173.9086609	767	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_2	YES	YES	na	na
NZ-017	NZ-017	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.3007469	175.1974792	1279	na	OK	Hexactinellida	Hexactinellida	Aulocalycidae	Aulocalyx	Aulocalyx serialis	Aulocalyx serialis	YES	NO	NZ-017	WB-00091
NZ-015	NZ-015	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.3000813	175.195755	1386	na	OK	Hexactinellida	Hexactinellida	Farreidae	Farrea	Farrea sp. 3	Farrea sp. 3	NO	NO	NZ-015	WB-00089
NZ-011	NZ-011	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2983494	175.2004547	1216	na	OK	Hexactinellida	Hexactinellida	Farreidae	Farrea	Farrea sp. 4	Farrea sp. 4	YES	NO	NZ-011	WB-00085
NZ-014	NZ-014	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2985859	175.1998596	1249	na	OK	Hexactinellida	Hexactinellida	Rossellidae	Lophocalyx	Lophocalyx sp.	Lophocalyx sp.	YES	NO	NZ-014	WB-00088
NZ-010	NZ-010	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2973347	175.2016907	1139	na	OK	Demospongiae	Demospongiae	Pleromidae	Pleroma	Pleroma menoui	Pleroma menoui	YES	NO	NZ-010	WB-00084
NZ-016	NZ-016	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.300642	175.1972198	1285	na	OK	Hexactinellida	Hexactinellida	Rossellidae	Rossellinae	Rossellinae indet.	Rossellinae indet.	NO	NO	NZ-016	WB-00090
NZ-012	NZ-012	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.3004074	175.196151	1347	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Saccocalyx	Saccocalyx n. sp.	Saccocalyx n. sp.	YES	YES	NZ-012	WB-00086
SO254_8_1	SO254_8	Seawater	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2973347	175.2016907	1219	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_8	YES	YES	na	na
SO254_8_2	SO254_8	Seawater	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2973347	175.2016907	1219	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_8	YES	YES	na	na
SO254_8_3	SO254_8	Seawater	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2973347	175.2016907	1219	na	na	Seawater	Seawater	Seawater	Seawater	Seawater	Seawater_8	YES	YES	na	na
NZ-013	NZ-013	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.2988491	175.19963	1335	na	UNKNOWN	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	NO	NO	NZ-013	WB-00087
NZ-019	NZ-019	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.3002853	175.196106	1360	na	UNKNOWN	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	NO	NO	NZ-019	WB-00092
NZ-020	NZ-020	Sponge	31.01.17	Day02	08ROV02	East of Three Kings Ridge	na	na	-31.3006706	175.1973419	1281	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Walteria	Walteria leuckarti	Walteria leuckarti	YES	NO	NZ-020	WB-00093
NZ-030	NZ-030	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908047	177.5011292	4159	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Amphidiscella	Amphidiscella n. sp. 1	Amphidiscella n. sp. 1	YES	YES	NZ-030	WB-00097
NZ-031	NZ-031	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908218	177.5001373	4160	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Amphidiscella	Amphidiscella n. sp. 1	Amphidiscella n. sp. 1	YES	YES	NZ-031	WB-00098
NZ-032	NZ-032	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908257	177.5003815	4160	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Amphidiscella	Amphidiscella n. sp. 1	Amphidiscella n. sp. 1	YES	YES	NZ-032	WB-00099
NZ-033	NZ-033	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.990797	177.4998016	4162	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Amphidiscella	Amphidiscella n. sp. 1	Amphidiscella n. sp. 1	YES	YES	NZ-033	WB-00100
NZ-034	NZ-034	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908104	177.5011139	4159	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Amphidiscella	Amphidiscella n. sp. 2	Amphidiscella n. sp. 2	NO	NO	NZ-034	WB-00101
NZ-035	NZ-035	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9907799	177.5011902	4159	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Bolosominae	Bolosominae n. gen. 2	Bolosominae n. gen. 2	NO	NO	NZ-035	WB-00102
NZ-028	NZ-028	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908257	177.5003815	4160	na	OK	Hexactinellida	Hexactinellida	Euretidae	Eurete	Eurete sp. 1	Eurete sp. 1	NO	NO	NZ-028	WB-00095
NZ-029	NZ-029	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908218	177.5001373	4160	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Saccocalyx	Saccocalyx n. sp.	Saccocalyx n. sp.	YES	YES	NZ-029	WB-00096
NZ-026_1	NZ-026	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9907703	177.499588	4161	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Saccocalyx	Saccocalyx sp.	Saccocalyx sp.	NO	NO	NZ-026_1	WB-00105
NZ-026_2	NZ-026	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9907703	177.499588	4161	na	OK	Hexactinellida	Hexactinellida	Euplectellidae	Saccocalyx	Saccocalyx sp.	Saccocalyx sp.	NO	NO	NZ-026_1	WB-00204
Sed_ROV03_1	Sed_ROV03	Sediment	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908104	177.4995728	4162	na	na	Sediment	Sediment	Sediment	Sediment	Sediment	Sediment_03	YES	YES	na	na
Sed_ROV03_2	Sed_ROV03b	Sediment	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908104	177.4995728	4161	na	na	Sediment	Sediment	Sediment	Sediment	Sediment	Sediment_03	YES	YES	na	na
Sed_ROV03_3	Sed_ROV03c	Sediment	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908104	177.4995728	4162	na	na	Sediment	Sediment	Sediment	Sediment	Sediment	Sediment_03	YES	YES	na	na
NZ-037	NZ-037	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908218	177.5001373	4160	na	UNKNOWN	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	NO	NO	NZ-037	WB-00103
NZ-038	NZ-038	Sponge	01.02.17	Day03	10ROV03	Abyssal Plain between Three Kings Ridge and Coleville Ridge	na	na	-30.9908161	177.4999847	4161	na	UNKNOWN	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	unknown sponge	NO	NO	NZ-038	WB-00104
NZ-043	NZ-043	Sponge	02.02.17	Day04	14ROV04	Coleville Volcano, Coleville Ridge	na	na	-30.0889091	179.8178864	532	na	OK	Demospongiae	Demospongiae	Stelligeridae	Stelligera	cf. Stelligera sp. 1	cf. Stelligera sp. 1	YES	YES	NZ-043	WB-00109
NZ-045	NZ-045	Sponge	02.02.17	Day04	14ROV04	Coleville Volcano, Coleville Ridge	na	na	-30.0866928	179.8155365	491	na	OK	Demospongiae	Demospongiae	Stelligeridae	Stelligera	cf. Stelligera sp. 1	cf. Stelligera sp. 1	YES	YES	NZ-045	WB-00111
NZ-047	NZ-047	Sponge	02.02.17	Day04	14ROV04	Coleville Volcano, Coleville Ridge	na	na	-30.0889091	179.8178864	532	na	OK	Demospongiae	Demospongiae	Stelligeridae	Stelligera	cf. Stelligera sp. 1	cf. Stelligera sp. 1	YES	YES	NZ-047	WB-00113
NZ-048	NZ-048	Sponge	02.02.17	Day04	14ROV04	Coleville Volcano, Coleville Ridge	na	na	-30.0884705	179.8173828	532	na	OK	Demospongiae	Demospongiae	Stelligeridae	Stelligera	cf. Stelligera sp. 1	cf. Stelligera sp. 1	YES	YES	NZ-048	WB-00114
NZ-049	NZ-049	Sponge	02.02.17	Day04	14ROV04	Coleville Volcano, Coleville Ridge	na	na	-30.0884705	179.8173828	532	na	OK	Demospongiae	Demospongiae	Stelligeridae	Stelligera	cf. Stelligera sp. 1	cf. Stelligera sp. 1	YES	YES	NZ-049	WB-00115
